119	343	6	7.41
101	2252	6	7
3059	361	5	55.86
1269	1426	3	28.9
1929	431	4	35.15
12	156	76	7.94
104	4716	4	13.17
12	111	308	8.12
108	3090	3	7.99
107	627	10	10.62
143	279	5	9.69
3954	6808	3	50.17
4205	104	3	9.88
6547	107	3	11.35
101	970	11	8
103	197	27	8.86
4748	107	3	7.18
156	2925	3	18.02
2044	313	5	43.82
120	500	6	12.58
217	12	51	16.25
1862	9	9	43.29
1563	104	8	17.2
608	188	3	10.84
102	991	11	14.29
217	243	4	10.59
101	1679	9	17.72
126	1297	5	20.25
198	432	3	9.44
112	2161	3	7.62
470	675	6	45.94
991	103	8	8.22
560	123	6	15.16
300	210	4	13.38
118	1756	5	20.16
3540	105	4	8.23
343	3691	3	26.19
59	797	8	27.05
629	8	6	7.82
427	321	4	20.22
447	4662	3	30.26
1768	59	3	8.12
3829	108	3	10.02
315	2	4	7.05
259	110	24	61.82
2756	105	6	19.18
102	4393	4	10.62
3885	930	3	35.62
519	129	4	8.29
2127	101	7	8.68
868	131	3	8.02
114	1121	4	8.99
1012	101	10	10.74
275	616	3	14
283	349	3	10.75
107	1974	6	14.37
614	584	3	18.59
103	286	27	28.56
669	686	4	29.75
111	6576	3	17.11
188	354	3	7.89
59	2565	3	11.01
562	108	8	10.17
1040	170	3	13.16
1270	12	11	10.81
1493	104	7	12.12
21	3887	3	34.33
265	2165	3	20.85
341	715	4	24.54
141	667	3	7.65
111	2878	4	15.42
105	6752	3	9.59
101	4379	4	7.87
262	85	9	12.32
4014	16	3	16.87
127	843	7	27.51
108	290	15	19.05
3825	427	4	46.21
3959	121	3	20.07
1082	130	6	27.39
889	1917	3	29.08
451	5108	3	34.96
1188	142	5	24.04
2984	1160	3	32.31
143	180	6	7.29
314	417	3	12.59
101	1073	10	6.68
106	6635	3	11.19
1119	101	10	8.45
148	755	5	20.23
2216	460	3	25.42
2124	120	3	9.58
114	2951	4	16.7
321	3825	4	44.38
224	426	21	172.97
4542	101	4	7.87
112	1987	3	7.62
1495	989	5	53.06
661	1388	11	141.36
107	4295	3	7.18
105	7129	3	9.59
1382	1352	4	42.72
101	4566	4	7.87
6904	102	3	7.96
719	729	3	21.57
101	2460	7	13.78
101	4462	4	7.87
104	326	45	148.96
1388	661	11	141.36
148	4194	3	20.51
157	411	4	11.18
106	2916	4	7.96
311	240	3	8.92
3044	107	4	8.15
267	142	6	12.19
123	518	4	6.75
3625	104	4	8.6
8	816	7	10.42
216	1441	3	16.78
1608	119	3	7.96
14	179	92	7.07
14	116	475	14.04
118	2127	3	9.13
207	239	44	382.48
171	274	4	9.52
375	217	3	9.07
227	117	29	93.61
814	108	6	8.71
1274	103	7	8.53
375	173	3	7.44
263	205	8	34.79
1879	136	3	13.25
1987	112	3	7.62
1485	118	3	7.66
2711	293	5	48.53
266	372	4	16.49
3280	101	4	7.87
1287	101	10	10.74
395	1258	3	20.76
108	1648	5	12.3
2235	108	4	10.13
124	105	104	55.74
111	2500	3	8.02
12	3462	5	7.46
977	2290	3	30.57
272	3810	4	42.71
140	714	3	8.09
269	392	3	12.15
112	128	62	102.42
438	170	30	263.44
2702	1229	4	47.68
2661	121	3	11.97
635	12	22	25.91
113	6099	3	17.93
366	111	11	19.76
394	16	8	20.43
376	387	3	13.25
4960	234	3	25.78
525	12	21	10.45
804	122	4	9.26
102	126	91	6.77
131	1405	4	16.42
110	420	10	17.6
2227	1461	6	81.82
119	3605	4	21.27
283	608	4	21.11
213	1032	3	15.01
537	396	3	16.11
382	1760	6	57.51
116	9	68	13.88
121	1182	3	7.22
888	104	9	12.03
363	16	5	7.64
101	306	35	25.08
246	2976	3	22.46
1568	715	5	50.26
101	238	36	8.68
424	209	4	15.26
141	1178	3	10.76
108	885	5	6.72
760	103	12	16.88
118	132	26	24.16
429	182	3	9.08
401	136	4	7.87
373	304	3	11.28
106	2527	5	10.96
2412	2538	3	36.79
116	2975	3	10.21
3109	108	3	7.99
885	108	5	6.72
2713	101	6	11.81
6990	105	3	9.59
105	356	16	8.17
318	1008	3	18.04
225	494	3	11.13
563	1098	3	22.32
225	358	5	20.33
152	419	4	10.25
439	262	6	34.45
240	187	22	132.99
340	114	9	13.29
275	3821	4	42.23
12	661	17	8.22
112	1294	4	9.14
229	312	3	8.38
1133	113	5	13.4
103	1966	5	6.89
2730	12	6	8.95
142	534	4	10.23
173	13	6	11.16
1344	9	5	10
578	1204	4	33.36
113	3110	3	11.41
12	832	15	12.64
164	427	3	7.35
109	2883	3	7.41
85	2072	3	8.04
414	85	6	7.09
200	574	3	11.15
2759	12	6	8.95
863	199	3	13.84
106	1701	5	7.64
1079	1004	3	26.65
103	696	10	8.12
145	415	4	9.63
9	2626	4	11.96
110	163	16	8.18
105	5792	3	9.59
794	206	3	13.4
159	115	40	96.96
1143	115	4	9.61
159	281	4	8.46
165	470	6	24.3
107	1410	6	9.19
141	108	51	51.97
995	4425	3	35.16
1033	8	7	13.36
449	320	9	61.56
359	448	3	13.66
107	3909	3	7.18
109	1153	5	9.4
493	134	7	22.85
1937	59	3	8.91
85	2470	4	14.91
191	510	3	10.12
155	483	3	7.5
324	187	4	11.83
1228	1498	3	29.57
472	125	6	14.18
105	2452	5	8.51
143	118	19	15.23
637	112	5	7.31
200	915	3	14.33
105	2400	6	13.89
1867	120	6	28.39
107	789	7	6.73
101	1068	10	6.68
199	108	32	55.08
4392	106	3	7.03
1119	108	5	8.11
103	1496	6	9.25
343	189	4	12.26
1020	118	5	15.52
3630	12	5	7.46
542	107	11	12.8
180	532	3	9.76
170	104	39	18.84
104	400	15	10.18
104	6527	3	9.88
776	85	7	20.3
7333	102	3	7.96
466	5556	3	35.6
3198	5542	3	47.94
353	149	5	12.93
161	838	3	11.1
175	190	4	6.75
4723	113	3	13.54
138	1041	3	9.35
118	1806	3	8.34
3928	115	3	13.65
121	2546	4	17.43
190	2008	3	18.43
101	1625	10	19.69
1228	217	3	16.95
8	2138	4	7.63
1563	325	3	21.35
253	228	3	7.42
16	932	3	7.85
4119	105	4	12.79
115	2732	4	16.64
217	152	6	11.67
5857	105	3	9.59
851	106	8	9.38
3966	293	4	43.05
194	336	4	12.54
106	1203	6	7.78
9	3125	3	8.06
101	2085	8	15.75
1525	125	3	9.37
207	166	45	321.85
4799	105	4	12.79
531	2495	3	26.29
105	5472	3	9.59
106	1382	9	27.45
132	3972	3	18.51
1023	228	3	16.04
1787	103	8	20.01
1116	105	7	7.15
2531	101	6	7
545	12	20	9.47
2607	144	3	16.18
1196	140	10	80.68
2007	827	3	28.25
119	1246	3	6.84
287	409	3	11.97
128	1013	3	7.81
14	174	102	7.84
4479	113	4	23.92
2553	111	3	8.02
382	2839	5	51.9
382	2779	5	51.9
3396	199	4	33.84
1691	116	3	7.37
3312	124	5	36.67
108	364	14	20.87
103	6037	3	9.69
4280	102	4	10.62
802	107	8	8.82
301	586	3	14.47
1016	124	3	8
1451	1194	3	29.73
117	571	5	8.36
1880	108	5	13.89
258	118	10	15.66
