29186	3255	25
14	317	7
14	7262	8
137	2703	17
1251	8422	1
12	9816	6
2078	5558	6
983	4732	20
127	4977	0
38376	181	1
101	2297	2
14	471	11
14	5744	29
1472	2392	24
583	5370	1
37390	8436	10
11912	228	2
23072	6091	0
26000	8472	12
4358	2920	15
14	6681	12
103	3320	31
116	4989	11
13558	2694	4
2110	5141	31
32479	5773	11
1689	9765	3
168	3633	7
237	4600	16
598	4436	14
110	7941	8
4718	3248	19
1945	206	3
31560	4524	2
1729	9982	17
1394	1897	13
2050	5518	15
1000	8628	12
27751	4904	7
14	4094	24
950	1877	1
12	8125	16
102	1980	8
383	6037	10
12	3347	4
13509	571	8
406	492	14
14803	1619	11
31770	2286	20
2414	6904	13
14	8280	16
328	6938	1
19087	2331	0
2345	5213	5
12	2425	12
9	4587	4
2048	2085	12
31794	8410	14
12	9240	4
18145	1528	0
22942	6061	0
25691	9515	0
110	6569	20
10582	8655	22
681	6316	1
9	1637	20
12	2229	22
201	6630	7
20760	3330	0
102	2585	3
12	1114	17
151	4651	10
227	1675	5
133	6601	4
1956	6434	26
14	603	19
16261	2199	2
34267	9404	3
38840	5414	8
14	3921	8
118	4801	5
1017	6751	0
104	6718	13
25809	2185	11
20056	2744	0
4977	7005	2
14	9592	20
101	3133	14
110	9707	4
10825	2744	1
4299	4903	26
5071	5964	7
427	8707	5
8959	9419	0
59	4991	5
1822	2004	3
31813	6306	13
32882	8284	12
37574	5670	7
108	7459	2
102	1649	6
39578	3007	3
506	7995	5
25531	9336	4
1707	8869	6
30419	9414	5
1888	9632	4
43741	2169	13
239	6846	9
103	475	2
131	753	1
5665	8915	5
161	3729	4
118	9774	8
7188	6948	10
104	2869	7
474	217	15
20463	2982	0
20594	3050	0
1723	2917	18
44425	5389	7
454	1627	14
369	6017	26
114	9433	1
29952	5489	15
104	7188	7
102	6613	9
28932	1673	3
2921	2630	8
1039	6791	10
1633	12	10
36602	3322	1
142	818	9
4809	6362	8
6449	1700	3
14	7287	14
101	5465	7
1450	2173	33
206	2118	8
235	5790	13
41114	7235	13
12	8945	4
201	1134	16
774	1647	4
232	8110	5
14	9493	26
40170	9479	13
105	5726	20
18892	8716	7
9113	578	8
5096	2440	12
968	2730	1
231	6503	11
9135	8634	20
8449	3173	8
8	8813	7
9647	8560	5
767	7569	10
187	7814	0
104	5400	14
11656	9190	23
7864	6556	20
30920	2383	11
866	170	0
5729	872	20
2	38	4
14	8221	12
14	4602	23
41312	4034	17
20396	6514	5
6575	5812	9
111	5479	9
240	1299	14
39676	4336	8
12929	186	2
863	8427	15
123	2732	7
17577	2841	1
2131	3476	8
2179	4157	10
343	9471	0
115	2396	2
12670	4306	3
7265	4342	1
12	1016	9
7367	8208	17
8309	3164	0
846	6019	1
572	5376	9
157	6151	12
6797	8484	2
103	7381	3
36984	6751	6
1138	1231	1
125	1563	4
42657	3667	8
11982	8600	16
102	7345	5
4759	465	3
406	8965	1
9	7202	21
562	1841	6
14	5398	9
4166	5759	2
6542	8	1
11449	3258	2
265	4575	18
8303	231	8
7074	5711	23
172	8739	11
1547	5079	11
12	5105	6
12	637	14
474	5201	16
121	6179	1
113	9969	4
2361	2040	30
6632	3238	12
6060	9314	10
106	6497	16
706	5652	6
164	826	0
130	8244	1
243	5731	1
2918	2344	8
102	2132	20
1008	8302	2
13	6956	13
101	1781	22
42554	2957	17
3338	5152	2
384	7860	24
1638	3705	3
219	6039	15
2	6188	18
109	4792	39
2242	2766	13
103	7349	24
138	1768	15
1233	8982	25
199	4499	24
162	6494	21
222	2969	13
229	4875	5
10482	3071	14
129	1176	4
14	6269	29
489	3730	8
600	3613	10
165	9936	0
1326	6577	11
20780	7292	20
14802	73	0
9	3691	24
13	3787	25
107	7181	0
5143	1105	12
27696	4744	1
1679	3372	7
1432	6018	12
101	8189	5
150	840	7
6128	5991	11
40082	645	3
373	364	8
107	8743	0
12	9689	11
830	2698	6
2366	5862	18
12	7930	9
233	8022	9
59	9272	3
106	8771	6
1264	8838	4
12	7170	36
136	3905	4
3374	2757	27
142	2293	1
140	7030	5
35291	5162	11
1266	5865	4
14	7582	19
1268	5350	8
112	7863	8
42891	94	1
119	6499	31
1680	2382	19
4852	6017	28
14	8919	25
1498	4351	7
20940	9285	11
1052	8874	6
105	6071	9
202	393	3
272	8537	5
5424	5528	0
151	832	27
857	9781	1
609	9282	13
1523	328	1
101	5174	12
143	6111	4
14	3220	13
226	4000	5
12653	2015	13
103	4273	7
498	7791	3
29647	5337	2
2444	6554	7
1474	2648	12
4539	5544	19
6345	3766	8
12135	2378	5
27770	6916	9
1286	5207	27
15642	5156	5
1021	1114	19
2886	125	15
41124	3713	10
6180	9594	26
14	5533	10
14	4691	8
10994	1532	8
185	2183	5
10925	6657	2
1182	7378	1
516	9061	19
269	5241	8
326	532	1
23909	6500	0
36769	6034	11
321	822	2
9	46	17
104	7821	37
8654	8871	7
7979	2736	2
28203	6891	24
646	5000	16
736	7061	2
39502	8880	1
1054	875	7
19868	7292	11
266	1552	3
12	7070	5
533	5738	2
29062	1636	8
14	9496	15
110	5228	4
103	6486	22
12	8956	17
2564	7890	4
8422	4395	0
2417	8552	6
12	3276	20
5961	474	2
141	3855	0
27644	4834	1
1315	2287	4
39572	7712	8
102	5993	6
1607	8784	3
39428	3227	14
139	2847	15
3074	2824	12
119	7192	24
331	8722	2
1381	1687	6
13718	742	31
2543	9038	4
136	8319	5
101	7361	6
1995	9328	26
105	7559	3
8834	8118	0
26532	444	3
110	5726	3
103	7503	15
103	2018	2
14	5837	19
116	9583	10
33274	1972	10
109	4191	1
33744	745	13
3328	229	11
136	5840	10
103	904	10
14	4775	27
1530	36	5
14	3617	8
1214	965	12
1859	9103	4
483	863	18
666	5142	11
724	6058	24
105	5509	14
505	1505	4
348	8576	7
42965	9839	4
10054	9017	16
10817	565	5
12605	1406	4
275	6110	7
29672	7615	20
14	1252	5
109	8733	4
128	7105	16
15592	6177	15
12	6573	22
15880	4266	12
14869	87	0
725	6541	12
3559	8306	2
275	1841	5
33756	7303	2
19114	9497	20
1260	4642	4
109	5910	1
26695	6910	11
33333	3656	5
13541	7604	12
105	676	14
14	6821	22
139	3381	5
16	6657	3
16558	5209	10
150	8222	3
280	2812	1
1294	921	9
34074	5280	5
315	8506	13
6454	6163	5
113	4140	14
13422	7170	26
36248	8253	16
104	5030	12
653	6439	2
13858	854	17
712	9743	17
567	5033	1
12	8355	24
31357	6238	21
26049	6796	16
110	2896	2
110	113	7
3039	7946	7
138	7223	7
6774	9697	12
3037	3114	26
36123	9101	9
14	263	11
181	5676	7
106	4055	9
38654	5562	2
41046	3713	11
798	1817	3
103	1352	12
14	2273	14
14388	2536	5
101	463	7
359	7514	1
11614	1987	3
14	3887	12
1361	5441	4
9	4540	6
38750	3702	8
109	9529	10
2406	9241	12
12267	9720	20
407	7447	3
20651	3663	0
10612	8435	1
